Date,Previous Close,Close Price,return,Traded Volume,Deliverable Qty,Next_day_return,Next_day_direction
16-Apr-18,938.85,937.05,-0.001917239,4084450,2628073,0.007683688,1
17-Apr-18,937.05,944.25,0.007683688,4388713,2792594,-0.00661901,0
18-Apr-18,944.25,938,-0.00661901,3365196,2111686,0.004584222,1
19-Apr-18,938,942.3,0.004584222,4481413,2947293,-0.015281757,0
20-Apr-18,942.3,927.9,-0.015281757,3349519,1740154,0.008729389,1
23-Apr-18,927.9,936,0.008729389,3508515,1921427,0.036378205,1
24-Apr-18,936,970.05,0.036378205,9107264,3460005,0.000463894,1
25-Apr-18,970.05,970.5,0.000463894,6436620,2040807,0.004997424,1
26-Apr-18,970.5,975.35,0.004997424,15588001,8531489,0.021479469,1
27-Apr-18,975.35,996.3,0.021479469,11666267,4260032,-0.033122553,0
30-Apr-18,996.3,963.3,-0.033122553,8871802,3221915,0.009758123,1
02-May-18,963.3,972.7,0.009758123,6117761,3572199,-0.011411535,0
03-May-18,972.7,961.6,-0.011411535,3947546,1962554,-0.007955491,0
04-May-18,961.6,953.95,-0.007955491,3795692,2179011,0.017873054,1
07-May-18,953.95,971,0.017873054,3512532,1558672,-0.004016478,0
08-May-18,971,967.1,-0.004016478,4934036,2886310,0.009926585,1
09-May-18,967.1,976.7,0.009926585,4494423,2151911,0.004556158,1
10-May-18,976.7,981.15,0.004556158,4014645,2062636,0.008255618,1
11-May-18,981.15,989.25,0.008255618,4011516,1936607,-0.002678797,0
14-May-18,989.25,986.6,-0.002678797,2579561,1192913,-0.007753902,0
15-May-18,986.6,978.95,-0.007753902,4800923,2160312,-0.02329026,0
16-May-18,978.95,956.15,-0.02329026,8613363,4335906,-0.011295299,0
17-May-18,956.15,945.35,-0.011295299,4733477,2896065,-0.012164807,0
18-May-18,945.35,933.85,-0.012164807,5230037,2639728,-0.002677089,0
21-May-18,933.85,931.35,-0.002677089,6624893,3776097,-0.004939067,0
22-May-18,931.35,926.75,-0.004939067,5170585,2425892,-0.015646075,0
23-May-18,926.75,912.25,-0.015646075,4567562,2429374,0.003946287,1
24-May-18,912.25,915.85,0.003946287,5317983,2683128,0.005404815,1
25-May-18,915.85,920.8,0.005404815,8129520,4874804,-0.000434405,0
28-May-18,920.8,920.4,-0.000434405,5197835,2438491,-0.003205128,0
29-May-18,920.4,917.45,-0.003205128,8173396,5810543,-0.00147147,0
30-May-18,917.45,916.1,-0.00147147,5991222,3269611,0.005730815,1
31-May-18,916.1,921.35,0.005730815,16951801,13107087,0.009985348,1
01-Jun-18,921.35,930.55,0.009985348,8765835,4890383,0.011068723,1
04-Jun-18,930.55,940.85,0.011068723,5600357,2937842,0.007227507,1
05-Jun-18,940.85,947.65,0.007227507,7971524,4928650,0.007122883,1
06-Jun-18,947.65,954.4,0.007122883,4189483,2708703,0.017759849,1
07-Jun-18,954.4,971.35,0.017759849,6857300,4501975,0.013383435,1
08-Jun-18,971.35,984.35,0.013383435,6532599,3812961,-0.001727028,0
11-Jun-18,984.35,982.65,-0.001727028,6866053,4298747,0.014756017,1
12-Jun-18,982.65,997.15,0.014756017,7445221,4766496,0.005365291,1
13-Jun-18,997.15,1002.5,0.005365291,5926020,2871545,0.005436409,1
14-Jun-18,1002.5,1007.95,0.005436409,5484867,2218107,0.006200704,1
15-Jun-18,1007.95,1014.2,0.006200704,11294702,6385232,0.001331098,1
18-Jun-18,1014.2,1015.55,0.001331098,5652374,3492837,-0.019201418,0
19-Jun-18,1015.55,996.05,-0.019201418,6346101,3674239,0.023292003,1
20-Jun-18,996.05,1019.25,0.023292003,7193824,3287906,0.012460142,1
21-Jun-18,1019.25,1031.95,0.012460142,10509756,5465096,-0.018847812,0
22-Jun-18,1031.95,1012.5,-0.018847812,16169978,7986234,-0.007950617,0
25-Jun-18,1012.5,1004.45,-0.007950617,5197694,2676512,-0.025387028,0
26-Jun-18,1004.45,978.95,-0.025387028,8068585,5009123,-0.013381684,0
27-Jun-18,978.95,965.85,-0.013381684,8958555,4764722,-0.021638971,0
28-Jun-18,965.85,944.95,-0.021638971,8581234,4508940,0.029102069,1
29-Jun-18,944.95,972.45,0.029102069,7966401,4374071,-0.012185716,0
02-Jul-18,972.45,960.6,-0.012185716,6660916,4155523,0.011138872,1
03-Jul-18,960.6,971.3,0.011138872,5067261,1809418,0.019355503,1
04-Jul-18,971.3,990.1,0.019355503,5000724,1659398,-0.025855974,0
05-Jul-18,990.1,964.5,-0.025855974,18719353,5001526,0.013530327,1
06-Jul-18,964.5,977.55,0.013530327,9161266,4334629,0.019998977,1
09-Jul-18,977.55,997.1,0.019998977,5170189,2125680,0.028683181,1
10-Jul-18,997.1,1025.7,0.028683181,10444513,5119543,0.012771766,1
11-Jul-18,1025.7,1038.8,0.012771766,8665072,4132538,0.041923373,1
12-Jul-18,1038.8,1082.35,0.041923373,24109297,8426615,0.016122326,1
13-Jul-18,1082.35,1099.8,0.016122326,17967282,6936199,-0.021458447,0
16-Jul-18,1099.8,1076.2,-0.021458447,6595781,2315158,0.015006504,1
17-Jul-18,1076.2,1092.35,0.015006504,6469256,2479774,0.000183091,1
18-Jul-18,1092.35,1092.55,0.000183091,4682099,1252943,0.011258066,1
19-Jul-18,1092.55,1104.85,0.011258066,5433617,2239525,0.021541386,1
20-Jul-18,1104.85,1128.65,0.021541386,8018150,2628164,-0.007398219,0
23-Jul-18,1128.65,1120.3,-0.007398219,5842496,3433559,-0.008345979,0
24-Jul-18,1120.3,1110.95,-0.008345979,4469144,2148011,0.003780548,1
25-Jul-18,1110.95,1115.15,0.003780548,5949680,3074960,-0.004035332,0
26-Jul-18,1115.15,1110.65,-0.004035332,6424867,4020019,0.017287174,1
27-Jul-18,1110.65,1129.85,0.017287174,6679468,2217077,0.019073328,1
30-Jul-18,1129.85,1151.4,0.019073328,13872467,6108940,0.030050373,1
31-Jul-18,1151.4,1186,0.030050373,13875377,5751741,0.005354132,1
01-Aug-18,1186,1192.35,0.005354132,9704295,3037359,-0.020128318,0
02-Aug-18,1192.35,1168.35,-0.020128318,6248975,2437701,0.007360808,1
03-Aug-18,1168.35,1176.95,0.007360808,6645397,3103032,0.013297081,1
06-Aug-18,1176.95,1192.6,0.013297081,4016418,1410496,-0.007043435,0
07-Aug-18,1192.6,1184.2,-0.007043435,4059460,1487015,0.02828914,1
08-Aug-18,1184.2,1217.7,0.02828914,7912437,2923306,0.000205305,1
09-Aug-18,1217.7,1217.95,0.000205305,6846928,2921760,-0.011289462,0
10-Aug-18,1217.95,1204.2,-0.011289462,3581210,1461098,-0.013702043,0
13-Aug-18,1204.2,1187.7,-0.013702043,4668159,2275557,0.019280963,1
14-Aug-18,1187.7,1210.6,0.019280963,5299536,1807539,-0.008095159,0
16-Aug-18,1210.6,1200.8,-0.008095159,5982490,2599428,0.002456696,1
17-Aug-18,1200.8,1203.75,0.002456696,3830992,1369817,0.025877466,1
20-Aug-18,1203.75,1234.9,0.025877466,7607036,3757248,0.009960321,1
21-Aug-18,1234.9,1247.2,0.009960321,7279641,3175536,0.017839962,1
23-Aug-18,1247.2,1269.45,0.017839962,7968123,3223808,0.006341329,1
24-Aug-18,1269.45,1277.5,0.006341329,6652005,2081971,0.010958904,1
27-Aug-18,1277.5,1291.5,0.010958904,5572177,2230945,0.02129307,1
28-Aug-18,1291.5,1319,0.02129307,8694751,2737776,-0.018802123,0
29-Aug-18,1319,1294.2,-0.018802123,11077203,5194828,-0.015260393,0
30-Aug-18,1294.2,1274.45,-0.015260393,9850042,4318202,-0.025736592,0
31-Aug-18,1274.45,1241.65,-0.025736592,15305857,9238143,-0.010067249,0
03-Sep-18,1241.65,1229.15,-0.010067249,12200022,5112877,0.010413701,1
04-Sep-18,1229.15,1241.95,0.010413701,8838770,2413230,-0.012037522,0
05-Sep-18,1241.95,1227,-0.012037522,10324923,4149062,0.02803586,1
06-Sep-18,1227,1261.4,0.02803586,11195043,4006564,0.013635643,1
07-Sep-18,1261.4,1278.6,0.013635643,10692787,4693947,-0.017792898,0
10-Sep-18,1278.6,1255.85,-0.017792898,7059008,2590230,-0.014452363,0
11-Sep-18,1255.85,1237.7,-0.014452363,10874768,2822017,0.011957663,1
12-Sep-18,1237.7,1252.5,0.011957663,8065553,2060692,0.000518962,1
14-Sep-18,1252.5,1253.15,0.000518962,7878583,3669268,-0.021745202,0
17-Sep-18,1253.15,1225.9,-0.021745202,6754086,2267155,-0.007137613,0
18-Sep-18,1225.9,1217.15,-0.007137613,7616412,2748827,-0.005258185,0
19-Sep-18,1217.15,1210.75,-0.005258185,11265786,4748466,0.005575057,1
21-Sep-18,1210.75,1217.5,0.005575057,19070172,10515967,0.011950719,1
24-Sep-18,1217.5,1232.05,0.011950719,10102589,4847608,-0.0011769,0
25-Sep-18,1232.05,1230.6,-0.0011769,9715020,3878485,0.016902324,1
26-Sep-18,1230.6,1251.4,0.016902324,6396828,2528972,0.001877897,1
27-Sep-18,1251.4,1253.75,0.001877897,10808749,5522509,0.00334995,1
28-Sep-18,1253.75,1257.95,0.00334995,11073023,6069287,-0.020867284,0
01-Oct-18,1257.95,1231.7,-0.020867284,7332693,2736679,-0.021596168,0
03-Oct-18,1231.7,1205.1,-0.021596168,7376575,3256864,-0.068749481,0
04-Oct-18,1205.1,1122.25,-0.068749481,23212443,8775930,-0.065404322,0
05-Oct-18,1122.25,1048.85,-0.065404322,21943190,9233066,0.057729895,1
08-Oct-18,1048.85,1109.4,0.057729895,24679428,7274941,-0.01744186,0
09-Oct-18,1109.4,1090.05,-0.01744186,10991196,2649182,0.011054539,1
10-Oct-18,1090.05,1102.1,0.011054539,9502176,3098938,-0.012975229,0
11-Oct-18,1102.1,1087.8,-0.012975229,13224172,4793025,0.035622357,1
12-Oct-18,1087.8,1126.55,0.035622357,9058536,3444135,0.01171719,1
15-Oct-18,1126.55,1139.75,0.01171719,8871776,3286277,0.021101119,1
16-Oct-18,1139.75,1163.8,0.021101119,7478601,2436006,-0.010740677,0
17-Oct-18,1163.8,1151.3,-0.010740677,12785646,5683158,-0.043429167,0
19-Oct-18,1151.3,1101.3,-0.043429167,25421229,11760364,-0.035094888,0
22-Oct-18,1101.3,1062.65,-0.035094888,13165542,5575032,-0.007481297,0
23-Oct-18,1062.65,1054.7,-0.007481297,10573730,4935700,-0.008485825,0
24-Oct-18,1054.7,1045.75,-0.008485825,13655337,6374934,-0.01429596,0
25-Oct-18,1045.75,1030.8,-0.01429596,14096237,5933721,0.013678696,1
26-Oct-18,1030.8,1044.9,0.013678696,9182613,2807996,0.04105656,1
29-Oct-18,1044.9,1087.8,0.04105656,7671807,2524165,-0.028314028,0
30-Oct-18,1087.8,1057,-0.028314028,8806701,3419851,0.004020814,1
31-Oct-18,1057,1061.25,0.004020814,16457691,7878322,-0.004711425,0
01-Nov-18,1061.25,1056.25,-0.004711425,9396027,4656665,0.017656805,1
02-Nov-18,1056.25,1074.9,0.017656805,16796200,8445647,0.014326914,1
05-Nov-18,1074.9,1090.3,0.014326914,7582518,2857717,0.012657067,1
06-Nov-18,1090.3,1104.1,0.012657067,8634266,2916693,0.005977719,1
07-Nov-18,1104.1,1110.7,0.005977719,1283997,440625,-0.015530746,0
09-Nov-18,1110.7,1093.45,-0.015530746,10840462,5841307,-0.012300517,0
12-Nov-18,1093.45,1080,-0.012300517,5801720,2645013,0.018009259,1
13-Nov-18,1080,1099.45,0.018009259,6811598,2108908,-0.001364319,0
14-Nov-18,1099.45,1097.95,-0.001364319,7787530,2994850,-0.001001867,0
15-Nov-18,1097.95,1096.85,-0.001001867,6831740,2856112,0.027852487,1
16-Nov-18,1096.85,1127.4,0.027852487,11031889,5587243,0.020046124,1
19-Nov-18,1127.4,1150,0.020046124,7308981,3592492,-0.010956522,0
20-Nov-18,1150,1137.4,-0.010956522,5719901,1793839,-0.021540355,0
21-Nov-18,1137.4,1112.9,-0.021540355,7507812,3064398,-0.009030461,0
22-Nov-18,1112.9,1102.85,-0.009030461,5792568,1519067,0.006256517,1
26-Nov-18,1102.85,1109.75,0.006256517,6386556,2438737,0.016625366,1
27-Nov-18,1109.75,1128.2,0.016625366,6810228,2501285,0.021671689,1
28-Nov-18,1128.2,1152.65,0.021671689,8003964,3299967,0.013750922,1
29-Nov-18,1152.65,1168.5,0.013750922,12636169,6306144,-0.000813008,0
30-Nov-18,1168.5,1167.55,-0.000813008,10717448,5180738,-0.009507087,0
03-Dec-18,1167.55,1156.45,-0.009507087,5569578,2281565,-0.003588568,0
04-Dec-18,1156.45,1152.3,-0.003588568,5192825,2107469,0.002473314,1
05-Dec-18,1152.3,1155.15,0.002473314,5819618,2225427,-0.027269186,0
06-Dec-18,1155.15,1123.65,-0.027269186,5866108,2029327,0.009033062,1
07-Dec-18,1123.65,1133.8,0.009033062,7214078,3026361,-0.038410654,0
10-Dec-18,1133.8,1090.25,-0.038410654,9381544,4443160,0.006695712,1
11-Dec-18,1090.25,1097.55,0.006695712,13494665,5185141,0.011799007,1
12-Dec-18,1097.55,1110.5,0.011799007,12605431,5196695,-0.003106709,0
13-Dec-18,1110.5,1107.05,-0.003106709,9297518,3456104,0.004652003,1
14-Dec-18,1107.05,1112.2,0.004652003,7221324,2836613,0.015914404,1
17-Dec-18,1112.2,1129.9,0.015914404,5064357,1583096,0.005752721,1
18-Dec-18,1129.9,1136.4,0.005752721,5870928,1463429,0.000351989,1
19-Dec-18,1136.4,1136.8,0.000351989,7368799,3731005,-0.007345179,0
20-Dec-18,1136.8,1128.45,-0.007345179,5764731,2014106,-0.025034339,0
21-Dec-18,1128.45,1100.2,-0.025034339,8281941,4108319,-0.010043628,0
24-Dec-18,1100.2,1089.15,-0.010043628,4144535,1170605,0.008446954,1
26-Dec-18,1089.15,1098.35,0.008446954,7210059,1909463,0.019893477,1
27-Dec-18,1098.35,1120.2,0.019893477,12478000,4046134,0.004775933,1
28-Dec-18,1120.2,1125.55,0.004775933,7666016,2256132,-0.003820354,0
31-Dec-18,1125.55,1121.25,-0.003820354,7222817,2448969,-0.000222965,0
01-Jan-19,1121.25,1121,-0.000222965,4455850,1306898,-0.013024086,0
02-Jan-19,1121,1106.4,-0.013024086,7144970,2543832,-0.01233731,0
03-Jan-19,1106.4,1092.75,-0.01233731,7446457,2883339,0.005399222,1
04-Jan-19,1092.75,1098.65,0.005399222,8465141,3496807,0.005552269,1
07-Jan-19,1098.65,1104.75,0.005552269,5513559,2138247,-9.05E-05,0
08-Jan-19,1104.75,1104.65,-9.05E-05,5625153,2263675,0.005522111,1
09-Jan-19,1104.65,1110.75,0.005522111,5766805,2004031,-0.002925951,0
10-Jan-19,1110.75,1107.5,-0.002925951,4080283,2045495,-0.008532731,0
11-Jan-19,1107.5,1098.05,-0.008532731,6463903,2382676,-0.001138382,0
14-Jan-19,1098.05,1096.8,-0.001138382,4111782,1851833,0.029950766,1
15-Jan-19,1096.8,1129.65,0.029950766,10062875,4195032,0.005532687,1
16-Jan-19,1129.65,1135.9,0.005532687,6382777,2077966,-0.001276521,0
17-Jan-19,1135.9,1134.45,-0.001276521,7487963,2511305,0.043986073,1
18-Jan-19,1134.45,1184.35,0.043986073,25684142,7341001,0.045045806,1
21-Jan-19,1184.35,1237.7,0.045045806,22038534,6427362,-0.002060273,0
22-Jan-19,1237.7,1235.15,-0.002060273,16552819,4373694,-0.007165122,0
23-Jan-19,1235.15,1226.3,-0.007165122,8829502,3120131,0.017247003,1
24-Jan-19,1226.3,1247.45,0.017247003,13155185,3750294,-0.001162371,0
25-Jan-19,1247.45,1246,-0.001162371,8550836,2362577,-0.013202247,0
28-Jan-19,1246,1229.55,-0.013202247,8569265,3185043,-0.015371477,0
29-Jan-19,1229.55,1210.65,-0.015371477,9328866,4553808,-0.012348738,0
30-Jan-19,1210.65,1195.7,-0.012348738,7846940,3095594,0.026302584,1
31-Jan-19,1195.7,1227.15,0.026302584,10185347,5218187,0.018579636,1
01-Feb-19,1227.15,1249.95,0.018579636,9228965,3715944,0.03276131,1
04-Feb-19,1249.95,1290.9,0.03276131,11670570,4215486,0.000503525,1
05-Feb-19,1290.9,1291.55,0.000503525,9362406,3245178,0.014478727,1
06-Feb-19,1291.55,1310.25,0.014478727,9411585,3426503,-0.015149781,0
07-Feb-19,1310.25,1290.4,-0.015149781,9212227,2945960,-0.009841909,0
08-Feb-19,1290.4,1277.7,-0.009841909,6505502,2225628,-0.019135947,0
11-Feb-19,1277.7,1253.25,-0.019135947,7523999,4104534,0.002513465,1
12-Feb-19,1253.25,1256.4,0.002513465,6399485,2638007,-0.008317415,0
13-Feb-19,1256.4,1245.95,-0.008317415,6964042,2579211,-0.017456559,0
14-Feb-19,1245.95,1224.2,-0.017456559,6627360,2505560,0.016541415,1
15-Feb-19,1224.2,1244.45,0.016541415,9597961,3834033,-0.019566877,0
18-Feb-19,1244.45,1220.1,-0.019566877,9649017,4211189,-0.00327842,0
19-Feb-19,1220.1,1216.1,-0.00327842,6244189,1681609,0.01500699,1
20-Feb-19,1216.1,1234.35,0.01500699,6298179,2060904,0.010167295,1
21-Feb-19,1234.35,1246.9,0.010167295,10580178,4866938,-0.011668939,0
22-Feb-19,1246.9,1232.35,-0.011668939,8755865,3503955,-4.06E-05,0
25-Feb-19,1232.35,1232.3,-4.06E-05,7852528,3212379,-0.009778463,0
26-Feb-19,1232.3,1220.25,-0.009778463,10131050,3886999,0.002663389,1
27-Feb-19,1220.25,1223.5,0.002663389,11113182,4163615,0.006170821,1
28-Feb-19,1223.5,1231.05,0.006170821,11286916,5923497,-0.004061573,0
01-Mar-19,1231.05,1226.05,-0.004061573,7922513,4129082,0.009461278,1
05-Mar-19,1226.05,1237.65,0.009461278,7121509,2886956,0.021936735,1
06-Mar-19,1237.65,1264.8,0.021936735,12038231,4441001,0.004308982,1
07-Mar-19,1264.8,1270.25,0.004308982,8109259,3006231,-0.002479827,0
08-Mar-19,1270.25,1267.1,-0.002479827,6040052,3019726,0.029200537,1
11-Mar-19,1267.1,1304.1,0.029200537,9718840,4714091,0.020895637,1
12-Mar-19,1304.1,1331.35,0.020895637,11228736,4678374,0.011980321,1
13-Mar-19,1331.35,1347.3,0.011980321,11236048,4622410,-0.004267795,0
14-Mar-19,1347.3,1341.55,-0.004267795,10402048,5383855,-0.014833588,0
15-Mar-19,1341.55,1321.65,-0.014833588,15893093,9619588,0.021488291,1
18-Mar-19,1321.65,1350.05,0.021488291,10105234,4740899,0.019628903,1
19-Mar-19,1350.05,1376.55,0.019628903,9805318,2711171,-0.000799099,0
20-Mar-19,1376.55,1375.45,-0.000799099,9892823,3410645,0.08367146,1
22-Mar-19,1269.25,1375.45,0.08367146,1055545,1055545,-0.024501072,0
22-Mar-19,1375.45,1341.75,-0.024501072,11465112,6045124,-0.012893609,0
25-Mar-19,1341.75,1324.45,-0.012893609,7951992,3661248,0.032315301,1
26-Mar-19,1324.45,1367.25,0.032315301,9479288,3250443,-0.013165112,0
27-Mar-19,1367.25,1349.25,-0.013165112,10094174,3394370,0.007967389,1
28-Mar-19,1349.25,1360,0.007967389,10482938,4655778,0.002389706,1
29-Mar-19,1360,1363.25,0.002389706,7699271,3130918,0.020979277,1
01-Apr-19,1363.25,1391.85,0.020979277,10098281,3166752,-0.001544707,0
02-Apr-19,1391.85,1389.7,-0.001544707,8012636,2276094,-0.010433907,0
03-Apr-19,1389.7,1375.2,-0.010433907,7849461,2934404,-0.016106748,0
04-Apr-19,1375.2,1353.05,-0.016106748,8375674,2798000,0.00062821,1
05-Apr-19,1353.05,1353.9,0.00062821,6728239,2231490,-0.018206662,0
08-Apr-19,1353.9,1329.25,-0.018206662,8723577,4345575,0.00391198,1
